3166-1-alpha-2,3166-1-alpha-3,worldpop_population_map,key
CD,COD,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/COD/cod_ppp_2020.tif,CD
CG,COG,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/COG/cog_ppp_2020.tif,CG
CK,COK,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/COK/cok_ppp_2020.tif,CK
CR,CRI,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/CRI/cri_ppp_2020.tif,CR
HR,HRV,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/HRV/hrv_ppp_2020.tif,HR
CU,CUB,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/CUB/cub_ppp_2020.tif,CU
CW,CUW,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/CUW/cuw_ppp_2020.tif,CW
CY,CYP,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/CYP/cyp_ppp_2020.tif,CY
CZ,CZE,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/CZE/cze_ppp_2020.tif,CZ
CI,CIV,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/CIV/civ_ppp_2020.tif,CI
DK,DNK,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/DNK/dnk_ppp_2020.tif,DK
DJ,DJI,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/DJI/dji_ppp_2020.tif,DJ
DM,DMA,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/DMA/dma_ppp_2020.tif,DM
DO,DOM,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/DOM/dom_ppp_2020.tif,DO
EC,ECU,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/ECU/ecu_ppp_2020.tif,EC
EG,EGY,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/EGY/egy_ppp_2020.tif,EG
SV,SLV,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/SLV/slv_ppp_2020.tif,SV
GQ,GNQ,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/GNQ/gnq_ppp_2020.tif,GQ
ER,ERI,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/ERI/eri_ppp_2020.tif,ER
EE,EST,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/EST/est_ppp_2020.tif,EE
SZ,SWZ,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/SWZ/swz_ppp_2020.tif,SZ
ET,ETH,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/ETH/eth_ppp_2020.tif,ET
FK,FLK,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/FLK/flk_ppp_2020.tif,FK
FO,FRO,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/FRO/fro_ppp_2020.tif,FO
FJ,FJI,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/FJI/fji_ppp_2020.tif,FJ
FI,FIN,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/FIN/fin_ppp_2020.tif,FI
FR,FRA,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/FRA/fra_ppp_2020.tif,FR
GF,GUF,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/GUF/guf_ppp_2020.tif,GF
PF,PYF,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/PYF/pyf_ppp_2020.tif,PF
TF,ATF,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/ATF/atf_ppp_2020.tif,TF
GA,GAB,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/GAB/gab_ppp_2020.tif,GA
GM,GMB,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/GMB/gmb_ppp_2020.tif,GM
GE,GEO,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/GEO/geo_ppp_2020.tif,GE
DE,DEU,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/DEU/deu_ppp_2020.tif,DE
GH,GHA,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/GHA/gha_ppp_2020.tif,GH
GI,GIB,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/GIB/gib_ppp_2020.tif,GI
GR,GRC,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/GRC/grc_ppp_2020.tif,GR
GL,GRL,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/GRL/grl_ppp_2020.tif,GL
GD,GRD,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/GRD/grd_ppp_2020.tif,GD
GP,GLP,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/GLP/glp_ppp_2020.tif,GP
GU,GUM,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/GUM/gum_ppp_2020.tif,GU
GT,GTM,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/GTM/gtm_ppp_2020.tif,GT
GG,GGY,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/GGY/ggy_ppp_2020.tif,GG
GN,GIN,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/GIN/gin_ppp_2020.tif,GN
GW,GNB,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/GNB/gnb_ppp_2020.tif,GW
GY,GUY,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/GUY/guy_ppp_2020.tif,GY
